entry,eLink,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Calib,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35
2,5,0,0,0,0,0,0,0,0,0,1094656,19456,1083392,0,0,0,0,0,63488,0,0,80109,0,0,0,1071104,51388416,0,0,0,0,0,0,0,0,0,10240,0
2,6,0,0,0,0,0,0,10496000,0,0,0,0,13312,10240,0,0,0,116938,40901632,0,0,0,0,0,0,0,0,0,0,0,0,13312,0,0,0,0,0,0
2,7,0,19456,0,0,0,53486592,7168,0,0,0,0,0,0,9216,0,0,0,0,0,1093632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,0,0,2118656,0,0,0,3170304,0,0,0,0,31463424,0,0,62924800,0,0,0,0,0,18890752,0,0,12591104,0,0,1065984,8192,41984,0,0,21504,0,1054720,30720,9216,0
2,9,0,1127613,8398848,0,0,0,0,54544384,0,0,0,0,0,14336,0,0,2108416,0,0,60828672,0,0,0,25170944,0,12589056,0,0,2137088,1078272,53248,0,0,162557952,0,2113536,0
2,10,30720,0,0,0,0,0,0,0,35657728,0,0,60416,0,0,0,0,55296,0,62924800,43009024,25178112,0,0,0,0,0,0,0,0,0,43008,51389440,0,0,0,2176187,13643776
2,11,0,0,0,0,1099776,0,0,0,0,0,26221568,0,0,0,0,0,4253696,7354368,0,0,0,59392,73728,14731264,0,0,0,12288,2107392,6320128,34636800,0,0,2138112,1116160,5271552,0
3,0,0,1119232,0,24122368,60416,46080,0,0,0,0,0,0,0,0,0,0,12288,0,0,0,0,130261,0,0,0,0,0,0,0,0,0,27269120,0,7168,0,0,0
3,1,0,0,0,12795107,151779,1079296,0,202998,0,0,1119232,1064960,10240,0,0,1064960,14336,27276288,0,155217920,0,0,89288,0,0,9449472,0,0,0,14690304,0,0,74475520,0,0,1081344,176328
3,2,0,0,2108416,27648,0,0,0,0,0,0,2152448,0,0,28317696,0,0,5120,0,0,0,0,0,15360,0,0,0,0,0,0,0,78657536,64512,0,0,0,0,0
